EGR,phi,P,Tin,T,u,dF,CH4,H2,O2,CO,CO2,H2O
0.0,1.1,100000.0000000001,299.9999999999999,2204.212655713321,0.3826503010725176,0.0004331940633935335,3.187546614432814e-15,0.012734919404095577,0.0006747970725109906,0.026511641417546233,0.07445145864588854,0.18960283306233466
0.1,1.15,500000.0000000002,300.0,2155.231728872323,0.1638585326321504,0.00016815967528257918,4.777053318595739e-13,0.017396543188403547,1.7864281052495682e-05,0.03663086993497807,0.07805429747519153,0.19022212154230214
0.7,0.85,500000.0000000002,299.9999999999995,1733.738010062395,0.02583950890113811,0.0007080038133251051,1.1928254454744122e-18,1.122762944311844e-05,0.02457309419577369,6.62968825173766e-05,0.22877315027276793,0.13772984976400182
0.3,1.05,100000.0000000001,299.9999999999999,2128.703888780219,0.2799600745724198,0.0005396638741201298,2.196772759188243e-16,0.005453383788595831,0.0021297275674464263,0.017613693038842335,0.1162788287361955,0.18203343891510382
0.5,0.95,100000.0,299.9999999999998,1996.960759202512,0.1877371374688648,0.0007078258493919846,7.189722876196225e-19,0.0010465609619096008,0.011321733952126387,0.004727911916429027,0.1605146111890698,0.1640573341140912
0.3,0.9,500000.0000000003,300.0,2070.627879355189,0.125890507720842,0.0002005085647675584,7.222304459713915e-20,0.0002619600205904094,0.01910207120120333,0.0008983242642905349,0.11739191915629511,0.1656957050492566
0.7,1.1,500000.0000000003,299.9999999999991,1776.38052947662,0.0196561377977803,0.0009551525768137567,8.619266216367205e-14,0.00433152756311777,5.37911097790861e-07,0.024977606191450785,0.24845275510206422,0.1605415211926665
0.7,1.0,500000.0000000003,300.0,1862.794780659988,0.02745109249726522,0.0007169831693661613,2.4502825786151283e-19,0.00020817983705990494,0.0011463542244614273,0.0014018522926039535,0.25709199151735146,0.15536850483322565
0.0,0.95,100000.0,300.0,2176.337432410572,0.3555405962912087,0.00045535301467203234,4.678156515850182e-18,0.002404233360183304,0.012670086728997521,0.005976202193309738,0.08377626103787644,0.1765145437844401
0.7,1.05,100000.0000000001,300.0,1813.005753765466,0.07872030824478986,0.0013564306670745129,1.060140743290684e-16,0.0022568140272387497,0.000730682194788759,0.014008248541402918,0.2519865218669396,0.15766096740417218
0.5,1.0,100000.0,300.0,2021.29209209806,0.1910444000934289,0.0007051528865841597,9.584346583457777e-18,0.0020344977270278035,0.0053347176685275485,0.009148170064198989,0.16281548599413811,0.16982385460651123
0.1,0.85,100000.0,299.9999999999999,2047.491387700999,0.2805937085814291,0.0005229292842765277,4.0790302325124397e-20,0.0006035234380288534,0.029136674205115617,0.0015941704656720797,0.08801603365970619,0.16062211859172837
0.1,0.95,500000.0000000003,299.9999999999999,2192.026428359255,0.1740420793679322,0.00016019365727005448,2.9617131295116104e-18,0.0008389324500454404,0.010817915440879644,0.002399038419396713,0.09662270431266508,0.1776298883667844
0.3,0.9,100000.0000000001,300.0,2050.206038175872,0.2526518851214794,0.0005680627873108706,2.0387024345058594e-19,0.0008720528661871682,0.019785328264347177,0.0029474287735342703,0.11523738951693718,0.16431581762405187
0.0,0.85,100000.0,300.0,2067.060793751877,0.3001094198203072,0.0004993885986732531,5.255458393502082e-20,0.0006724404916888114,0.02934711081168719,0.0016189753281921045,0.07974643293193752,0.1618700951603285
0.1,0.95,100000.0000000001,299.9999999999999,2154.365433791037,0.3301701498057988,0.00047857193982126206,3.80311649391254e-18,0.0021786153193860238,0.012553437418884,0.005962039065902232,0.09281533418219753,0.1751611322484396
0.3,0.95,500000.0000000002,299.9999999999999,2129.784900032149,0.1351691577672203,0.0001935058969391736,1.051315728082562e-18,0.0005594019231142897,0.010418927651793117,0.0019883003509751527,0.12198520051016604,0.17323092774599502
